Fall, ,16
EH 101,3 hrs, 
MA 125,4 hrs, 
CH 131,4 hrs, 
EG 101,2 hrs, 
Gen Ed*,3 hrs, 
Spring, ,17
EH 102,3 hrs, 
MA 126,4 hrs, 
PH 201,4 hrs, 
CA 110,3 hrs, 
ME 135,3 hrs, 
Second Year,,Credit Hours
Fall, ,17
MA 227,4 hrs, 
MA 237,3 hrs, 
PH 202,4 hrs, 
EG 283,3 hrs, 
Gen Ed*,3 hrs, 
Spring, ,15
MA 238,3 hrs, 
EG 220,3 hrs, 
EG 231,3 hrs, 
EG 284,3 hrs, 
EG 315,3 hrs, 
Third Year,,Credit Hours
Fall, ,16
EG 270,3 hrs, 
EG 360,3 hrs, 
ME 326,3 hrs, 
ME 328,4 hrs, 
Science Elective+,3 hrs, 
 , , 
Spring, ,16
ME 312,3 hrs, 
ME 314,3 hrs, 
ME 316,3 hrs, 
ME 317,3 hrs, 
ME 336,1 hr, 
Gen Ed,3 hrs, 
Fourth Year*****,,Credit Hours
Fall, ,14
ME 412,1 hr, 
ME 410,3 hrs, 
ME 426,3 hrs, 
ME 429,1 hr, 
Gen Ed,3 hrs, 
ME Elective**,3 hrs, 
 , , 
Spring, ,15
ME 414,1 hr, 
ME 416,2 hr, 
ME 472,3 hrs, 
ME Elective or Technical Elective,3 hrs, 
ME Elective or Technical Elective,3 hrs, 
Gen Ed*,3 hrs, 
